keyword,#Results,Link
"""Edgar Huntly"" ""Charles Brockden Brown""",139.0,https://www.coursehero.com/search/results/1217467280/cb280ee55756bf4e60/
"""Where the Red Fern Grows"" ""Wilson Rawls""",199.0,https://www.coursehero.com/search/results/1217467400/4d1415abb972fcaafd/
"""Germinal"" ""Émile Zola""",927.0,https://www.coursehero.com/search/results/1217467528/96e2792540e274aa3a/
"""Rules of Civility"" ""Amor Towles""",,https://www.coursehero.com/
"""The One And Only Ivan"" ""Katherine Applegate""",115.0,https://www.coursehero.com/search/results/1217468429/507cc32f749a0b24c2/
"""The Marrow Thieves"" ""Cherie Dimaline""",353.0,https://www.coursehero.com/search/results/1217469010/9082bf35c701ca8333/
"""The Gangster We Are All Looking For"" ""Le Thi Diem Thuy""",84.0,https://www.coursehero.com/search/results/1217469555/f3cdd516d8fb9435f3/
"""The Poet X"" ""Elizabeth Acevedo""",178.0,https://www.coursehero.com/search/results/1217470319/9d19487294c77112dd/
"""Fever 1793"" ""Laurie Halse Anderson""",,https://www.coursehero.com/
"""Rifles for Watie"" ""Harold Keith""",18.0,https://www.coursehero.com/search/results/1217470712/0f41b9b7faf6400081/
"""Waterlily"" ""Ella Cara Deloria""",229.0,https://www.coursehero.com/search/results/1217470908/949703b7fd3b2fda0e/
"""Washington Black"" ""Esi Edugyan""",58.0,https://www.coursehero.com/search/results/1217471050/cf98413932cc2dc13d/
"""Small Great Things"" ""Jodi Picoult""",89.0,https://www.coursehero.com/search/results/1217471175/8cfd0c9354624de81c/
"""Christ in Concrete"" ""Pietro Di Donato""",,https://www.coursehero.com/
"""The Westing Game"" ""Ellen Raskin""",95.0,https://www.coursehero.com/search/results/1217472235/0b3b6b91b7c831eeb5/
"""Gates of Fire"" ""Steven Pressfield""",123.0,https://www.coursehero.com/search/results/1217472346/e9e88f25daa7b373de/
"""The Unteachables"" ""Gordon Korman""",2.0,https://www.coursehero.com/search/results/1217472469/dc9569e483cb835268/
"""I Am Malala (Young Readers Edition)"" ""Patricia McCormick,Malala Yousafzai""",,https://www.coursehero.com/search/results/1217472577/146e745815216bc638/
"""Restart"" ""Gordon Korman""",24.0,https://www.coursehero.com/search/results/1217472829/bf75e8f4f8f21e8575/
"""The Night Watchman"" ""Louise Erdrich""",33.0,https://www.coursehero.com/search/results/1217473111/8df8874bac0eff7a2b/
"""The Ballad of Songbirds and Snakes"" ""Suzanne Collins""",65.0,https://www.coursehero.com/search/results/1217473248/173b21608abb30b572/
"""Art"" ""Yasmina Reza""",270.0,https://www.coursehero.com/search/results/1217473336/df55229ec61fc7c8e2/
"""Goodnight Moon"" ""Margaret Wise Brown""",461.0,https://www.coursehero.com/search/results/1217473493/42ae992392aa2607f6/
"""The Ladies' Paradise"" ""Émile Zola,Transl. Robin Buss,Transl. Brian Nelson""",,https://www.coursehero.com/search/results/1217473798/974a0ec20ad8cce465/
"""Oh, The Places You'll Go"" ""Dr. Seuss""",766.0,https://www.coursehero.com/search/results/1217474006/df7ac9761ba9b3d62b/
"""Robert Gray: Poems"" ""Robert Gray""",9.0,https://www.coursehero.com/search/results/1217474144/5779d3f4f26132a72c/
"""1984"" ""george orwell""",24887.0,https://www.coursehero.com/search/results/1217474241/0489538712e1f5dedd/
"""Barracoon: The Story of the Last Black Cargo"" ""Zora Neale Hurston""",161.0,https://www.coursehero.com/search/results/1510130788/f27737c1b1760618ea/
"""!Andale, Prieta!"" ""Yasmin Ramirez""",,https://www.coursehero.com/search/results/1510138165/d47b1bad04c461bfce/
"""¡Hola Papi!"" ""John Paul Brammer""",,https://www.coursehero.com/
"""? Poem"" ""Robert W. Service""",171.0,https://www.coursehero.com/search/results/1510138554/4b68d3387f5294d3a0/
"""...I Never Saw Another Butterfly..."" ""Hana Volavková (Editor)""",2.0,https://www.coursehero.com/search/results/1510138710/20a04ee95e874416af/
"""'E' Is for Evidence: A Kinsey Millhone Mystery"" ""Sue Grafton""",,https://www.coursehero.com/search/results/1510138879/127d8504240124c00a/
"""'F' Is for Fugitive: A Kinsey Millhone Mystery"" ""Sue Grafton""",,https://www.coursehero.com/search/results/1510139051/05a7661cd16744847f/
"""'I' Is for Innocent"" ""Sue Grafton""",10.0,https://www.coursehero.com/search/results/1510139257/57877767a00bf9757d/
"""'If I Forget Thee, O Earth . . . '"" ""Arthur C. Clarke""",5.0,https://www.coursehero.com/search/results/1510139368/fb35ee02d47a6b68c3/
"""'Salem's Lot"" ""Stephen King""",843.0,https://www.coursehero.com/search/results/1510139556/9cf8c9208c717babb7/
"""'the Good Old Days': The Holocaust as Seen by Its Perpetrators and Bystanders"" ""Ernst Klee""",,https://www.coursehero.com/
"""'Til The Well Runs Dry"" ""Lauren Francis-Sharma""",,https://www.coursehero.com/
"""'Tis: A Memoir"" ""Frank McCourt""",11.0,https://www.coursehero.com/search/results/1510140124/f8adc5a4362ea0a0f1/
"""’N’em"" ""Jericho Brown""",4.0,https://www.coursehero.com/search/results/1510140259/e1b4df517e08f5c40e/
"""Eleven And Papa Who Wakes Up Tired In The Dark"" ""Sandra Cisneros""",,https://www.coursehero.com/
"""Faith is a fine invention"" ""Emily Dickinson""",,https://www.coursehero.com/
"""Halfe a Yard of Rede Sea"" ""Linda Gregerson""",,https://www.coursehero.com/
"""I: New and Selected Poems"" ""Toi Derricotte""",1.0,https://www.coursehero.com/search/results/1510141017/3e5284ff63e0fcbc0e/
"""in the inner city"" ""Lucille Clifton""",,https://www.coursehero.com/search/results/1510141198/8948331f6923bb7e52/
"""Repent, Harlequin! Said the Ticktockman"" ""Harlan Ellison""",113.0,https://www.coursehero.com/search/results/1510141362/2d18c45d84d3a13a1e/
"""Surely You'Re Joking, Mr. Feynman!: Adventures Of A Curious Character"" ""Richard P Feynman""",93.0,https://www.coursehero.com/search/results/1510141568/d23b72d78f71b76dca/
"""There Are Things I Want You To Know About Stieg Larsson And Me"" ""Eva Gabrielsson""",,https://www.coursehero.com/
"""What Do You Care What Other People Think?: Further Adventures Of A Curious Character"" ""Richard P Feynman, Ralph Leighton""",,https://www.coursehero.com/search/results/1510141929/16be8eda67a46e27cd/
"""“being property once myself”"" ""Lucille Clifton""",7.0,https://www.coursehero.com/search/results/1510142085/52e432c60bfe4a9ab5/
